platform,content_type,day_of_week,hour,followers,hashtags,likes,comments,shares,reach,engagement_rate
TikTok,Image,Sunday,6,3457,23,24,2,1,1729,0.0122
Twitter,Carousel,Sunday,17,23920,0,12,1,0,10198,0.001
Instagram,Video,Saturday,16,639,2,5,0,0,103,0.012
Facebook,Image,Tuesday,20,3699,8,23,1,0,1524,0.0103
TikTok,Image,Tuesday,20,4757,17,124,8,2,1628,0.0328
TikTok,Carousel,Tuesday,16,3183,25,67,5,1,751,0.0265
Instagram,Text,Friday,19,2592,12,20,1,0,440,0.0121
Instagram,Video,Wednesday,16,98539,5,1800,121,66,35420,0.0236
Instagram,Video,Wednesday,8,10105,2,129,8,9,4656,0.0171
LinkedIn,Text,Sunday,17,9348,6,209,11,10,1175,0.0441
TikTok,Image,Tuesday,16,337,10,4,0,0,111,0.0236
Instagram,Video,Thursday,17,20593,11,159,17,3,11843,0.0147
TikTok,Video,Saturday,22,22866,23,521,45,40,12614,0.0318
LinkedIn,Carousel,Monday,22,27659,1,1718,97,128,16195,0.0876
Twitter,Image,Saturday,4,62003,19,43,2,2,21113,0.001
Facebook,Image,Tuesday,18,6122,16,32,1,1,3324,0.0071
LinkedIn,Video,Sunday,13,4202,28,133,4,1,606,0.0611
Instagram,Image,Thursday,23,4153,13,59,3,1,1151,0.0198
Instagram,Video,Saturday,15,16157,1,119,7,2,9342,0.0139
Facebook,Video,Thursday,12,259000,5,1899,96,144,110029,0.0092
LinkedIn,Image,Tuesday,4,4342,29,160,16,8,903,0.0494
TikTok,Image,Monday,8,68237,21,696,71,17,14460,0.0187
TikTok,Image,Saturday,20,279,8,3,0,0,32,0.0221
TikTok,Text,Wednesday,6,588,8,4,0,0,123,0.0096
LinkedIn,Video,Monday,5,8646,28,451,40,21,4601,0.0778
LinkedIn,Image,Thursday,20,14889,25,1271,115,67,7092,0.1204
Instagram,Text,Tuesday,13,3594,28,19,1,1,824,0.0109
Instagram,Video,Wednesday,23,1053,19,14,1,0,505,0.0205
TikTok,Text,Sunday,12,18690,24,121,12,9,3423,0.0118
Facebook,Carousel,Saturday,11,3943,27,18,2,1,650,0.006
Facebook,Video,Wednesday,19,44574,7,231,10,9,25503,0.0104
Instagram,Text,Sunday,19,1751,2,13,1,0,1007,0.0106
Instagram,Image,Friday,21,4839,9,65,6,4,968,0.0226
Facebook,Carousel,Tuesday,20,17296,5,139,13,8,9035,0.0106
Facebook,Image,Thursday,3,10881,24,35,1,0,4817,0.0051
TikTok,Video,Monday,7,1108,18,25,2,0,368,0.0364
LinkedIn,Image,Sunday,16,37619,26,1071,35,46,5735,0.0388
Instagram,Text,Sunday,13,77272,17,361,21,16,11122,0.0093
TikTok,Video,Thursday,11,20914,25,334,30,25,3390,0.0312
Facebook,Image,Monday,4,122757,27,333,34,11,62288,0.0038
Instagram,Text,Thursday,16,6965,1,48,3,2,2762,0.0127
LinkedIn,Image,Wednesday,8,17751,20,729,58,43,3802,0.0633
Twitter,Text,Wednesday,5,1038,12,0,0,0,602,0.001
TikTok,Carousel,Friday,11,778,22,20,2,1,241,0.0405
Instagram,Image,Saturday,11,2955,25,10,0,0,1184,0.0065
LinkedIn,Image,Tuesday,8,7798,7,602,42,27,2180,0.1015
LinkedIn,Video,Wednesday,10,38968,0,2483,208,93,8515,0.0942
Instagram,Text,Saturday,7,349,25,1,0,0,158,0.0077
Instagram,Video,Monday,16,17252,24,119,8,8,6539,0.0097
TikTok,Video,Saturday,4,24135,1,248,17,18,6228,0.0192
TikTok,Video,Tuesday,12,155983,0,3314,389,167,35425,0.0356
TikTok,Video,Saturday,7,1982,20,44,1,2,637,0.0286
Facebook,Video,Tuesday,17,7499,0,36,3,2,3631,0.0084
Instagram,Carousel,Thursday,17,21122,12,217,8,12,12667,0.0148
Instagram,Text,Monday,23,4906,8,25,2,1,2761,0.0098
TikTok,Text,Friday,19,56085,3,669,20,21,15884,0.018
TikTok,Carousel,Thursday,15,39948,13,969,80,21,16829,0.0481
Facebook,Image,Friday,20,190,0,1,0,0,74,0.0098
TikTok,Image,Sunday,19,5546,28,64,7,2,835,0.0224
TikTok,Video,Thursday,17,8836,18,181,17,6,5198,0.039
Facebook,Image,Sunday,17,9490,21,15,1,0,5518,0.0031
TikTok,Carousel,Monday,11,1803,0,38,2,1,895,0.0308
LinkedIn,Video,Monday,20,5361,7,642,35,43,1671,0.1632
LinkedIn,Video,Thursday,7,1460,7,126,9,5,276,0.1141
TikTok,Video,Sunday,14,3511,18,39,4,0,1571,0.0174
TikTok,Image,Sunday,18,14544,10,353,35,10,6146,0.0315
LinkedIn,Image,Monday,8,3361,16,114,11,3,1243,0.0656
Facebook,Carousel,Saturday,9,1057,1,3,0,0,341,0.0054
TikTok,Image,Tuesday,22,18181,6,248,9,10,8692,0.0207
TikTok,Carousel,Thursday,13,2059,30,30,2,1,456,0.0294
LinkedIn,Video,Saturday,6,3673,25,177,16,2,923,0.0659
Instagram,Image,Friday,11,8866,25,46,5,3,1603,0.009
Facebook,Image,Thursday,20,9161,11,60,6,3,4534,0.0087
TikTok,Video,Friday,2,4225,29,47,5,2,1435,0.0169
TikTok,Image,Monday,16,3054,15,48,2,1,409,0.0257
Instagram,Video,Thursday,5,4367,18,52,5,1,2295,0.0155
Instagram,Video,Tuesday,17,5883,1,113,3,6,3481,0.0242
Instagram,Video,Monday,19,2553,21,35,3,0,552,0.0204
Instagram,Video,Thursday,14,1692,27,18,0,0,519,0.0168
Facebook,Carousel,Saturday,22,3460,12,14,1,0,674,0.0057
LinkedIn,Video,Tuesday,9,7919,3,614,43,42,1180,0.1168
TikTok,Video,Thursday,9,41661,19,1180,77,90,6939,0.0374
Instagram,Carousel,Monday,17,736,26,4,0,0,308,0.0126
LinkedIn,Text,Monday,16,8501,4,248,18,14,1027,0.0406
Instagram,Carousel,Friday,19,210,14,3,0,0,103,0.0223
TikTok,Image,Friday,17,2508,0,31,3,0,1215,0.0236
LinkedIn,Image,Tuesday,1,2225,2,80,5,5,580,0.0462
Instagram,Image,Tuesday,16,80233,25,821,34,27,45254,0.0147
Instagram,Image,Wednesday,15,1522,8,15,1,0,161,0.013
Twitter,Carousel,Saturday,20,28462,14,36,3,2,12184,0.0017
Instagram,Image,Wednesday,9,108535,3,1033,39,80,37357,0.0135
Instagram,Video,Saturday,14,11627,9,189,17,13,4861,0.0244
Facebook,Video,Tuesday,15,19830,27,97,4,6,8502,0.0084
TikTok,Carousel,Saturday,16,3744,24,43,1,2,440,0.0176
LinkedIn,Video,Tuesday,18,43894,26,4139,311,77,12847,0.1471
LinkedIn,Carousel,Saturday,15,965,21,22,1,0,479,0.0474
Instagram,Image,Thursday,14,3617,6,41,1,1,1445,0.0162
LinkedIn,Video,Wednesday,13,43211,21,3189,244,130,7506,0.1002
TikTok,Image,Tuesday,11,25839,9,490,42,21,4886,0.0344
LinkedIn,Text,Thursday,11,136882,5,7531,452,89,15343,0.0904
Facebook,Video,Monday,21,4371,11,33,2,1,2485,0.0121
LinkedIn,Image,Saturday,18,109,22,6,0,0,18,0.0764
Facebook,Carousel,Thursday,1,30622,30,82,5,5,7167,0.0044
Instagram,Text,Wednesday,5,213,10,1,0,0,123,0.0087
LinkedIn,Text,Tuesday,19,18282,15,1410,60,85,3575,0.0972
TikTok,Video,Friday,16,2409,4,36,1,2,916,0.0264
TikTok,Video,Tuesday,12,70109,17,1860,93,128,22036,0.0388
Instagram,Carousel,Monday,17,234,20,1,0,0,117,0.0122
TikTok,Video,Sunday,13,28671,16,531,51,5,4677,0.0255
LinkedIn,Video,Saturday,9,13045,23,539,19,22,7234,0.0814
TikTok,Image,Saturday,11,297,2,3,0,0,43,0.0165
TikTok,Carousel,Friday,16,4142,28,77,3,4,2057,0.0284
TikTok,Text,Wednesday,21,8442,18,66,4,4,4307,0.0155
TikTok,Carousel,Saturday,5,10799,15,167,11,13,4686,0.0196
LinkedIn,Video,Saturday,22,2224,21,103,3,6,455,0.0879
TikTok,Text,Thursday,20,10432,22,178,12,12,3438,0.0288
TikTok,Image,Wednesday,20,709,3,11,1,0,391,0.0308
LinkedIn,Video,Wednesday,17,830,26,59,6,3,135,0.1125
LinkedIn,Video,Thursday,17,16388,30,671,24,22,8737,0.0785
Instagram,Image,Friday,3,37912,29,167,16,10,16396,0.0058
Instagram,Text,Wednesday,0,4587,11,14,0,0,1405,0.0057
Facebook,Image,Monday,4,13332,8,45,2,3,6359,0.0045
Facebook,Video,Sunday,16,173272,16,849,59,21,27744,0.0071
Instagram,Video,Monday,1,479,18,3,0,0,59,0.012
Twitter,Text,Monday,10,18746,25,14,0,0,9271,0.0013
LinkedIn,Carousel,Thursday,8,107234,16,5242,567,76,61971,0.0959
Instagram,Carousel,Thursday,21,1509,10,20,0,1,486,0.0253
Facebook,Image,Sunday,14,5602,15,15,1,0,2643,0.0039
TikTok,Image,Saturday,20,27169,7,487,34,20,11173,0.028
TikTok,Image,Thursday,8,5958,0,81,2,1,1605,0.0242
Facebook,Image,Saturday,12,3390,25,13,1,0,389,0.0061
LinkedIn,Video,Wednesday,7,2800,13,134,14,8,1131,0.0768
TikTok,Carousel,Sunday,22,22738,0,375,39,4,12182,0.0231
Instagram,Carousel,Monday,13,2138,12,28,1,0,593,0.0181
Twitter,Carousel,Monday,17,11482,15,12,0,0,2134,0.002
LinkedIn,Carousel,Friday,5,1457,0,56,3,2,566,0.0623
Instagram,Video,Monday,8,60096,2,614,65,23,8341,0.0166
TikTok,Text,Saturday,13,17891,26,199,13,6,6997,0.0144
TikTok,Image,Thursday,12,65881,5,2257,76,142,37771,0.0494
TikTok,Image,Tuesday,16,3486,12,50,4,2,984,0.0244
Instagram,Text,Monday,6,1522,3,5,0,0,453,0.0065
TikTok,Video,Friday,10,7043,27,127,13,10,1719,0.0265
Twitter,Image,Friday,22,420578,5,241,25,8,215927,0.001
LinkedIn,Video,Friday,11,416,17,27,1,1,143,0.1203
TikTok,Text,Thursday,10,40055,14,466,20,32,18242,0.0162
Twitter,Video,Wednesday,21,12074,26,19,1,0,6002,0.003
Instagram,Text,Thursday,22,8334,2,66,4,2,2881,0.011
TikTok,Image,Sunday,12,329,17,7,0,0,169,0.032
Facebook,Image,Friday,13,1746,9,5,0,0,367,0.0053
LinkedIn,Carousel,Saturday,17,33790,4,1777,110,117,8088,0.0892
Instagram,Text,Sunday,23,6730,19,22,0,1,3438,0.0064
Facebook,Text,Wednesday,16,7787,2,15,0,0,2136,0.0032
Instagram,Carousel,Friday,17,14558,3,184,9,7,2512,0.0168
LinkedIn,Carousel,Sunday,9,30012,28,1012,112,32,10150,0.0543
Instagram,Image,Friday,3,4404,23,15,1,1,1439,0.0063
Facebook,Image,Thursday,17,27192,25,96,7,4,4661,0.0048
Facebook,Video,Sunday,7,1907,12,7,0,0,872,0.0078
LinkedIn,Text,Tuesday,13,16641,2,753,78,14,6365,0.0581
Facebook,Image,Tuesday,20,29037,11,190,7,11,10073,0.0083
TikTok,Image,Sunday,0,17736,20,149,14,11,8003,0.0107
Instagram,Video,Wednesday,16,213,26,2,0,0,103,0.016
Instagram,Text,Friday,12,13228,6,100,7,7,2749,0.0109
LinkedIn,Image,Tuesday,12,9971,14,591,22,7,4321,0.0881
Facebook,Carousel,Friday,9,822,0,2,0,0,248,0.0048
TikTok,Image,Friday,13,8380,21,127,12,8,3022,0.0256
Twitter,Video,Friday,5,822,5,0,0,0,385,0.001
Instagram,Image,Thursday,0,35703,30,185,5,13,17551,0.0069
Facebook,Image,Saturday,7,12668,29,38,2,0,5520,0.0045
LinkedIn,Text,Sunday,19,8360,29,214,13,5,1654,0.0492
Instagram,Image,Tuesday,10,31419,5,324,33,24,8441,0.0149
LinkedIn,Image,Sunday,18,1581,29,67,3,3,695,0.065
Instagram,Video,Saturday,18,1139,14,17,1,0,625,0.0225
LinkedIn,Video,Wednesday,19,4256,29,323,37,25,1940,0.1359
Twitter,Image,Wednesday,13,2359,21,2,0,0,699,0.0019
Facebook,Carousel,Thursday,9,65428,5,446,44,20,6938,0.0102
Instagram,Image,Thursday,8,1241,9,16,1,0,390,0.0172
Instagram,Image,Friday,0,1534655,14,7207,275,88,197742,0.0068
TikTok,Video,Monday,19,14908,11,311,16,7,8335,0.03
Instagram,Image,Wednesday,18,15711,6,155,14,7,4929,0.0157
TikTok,Carousel,Friday,11,6101,24,134,10,3,2413,0.0342
Instagram,Video,Sunday,3,1020,9,11,0,0,523,0.0145
Instagram,Carousel,Friday,19,1942,27,24,1,0,230,0.0191
Instagram,Carousel,Monday,15,6246,22,47,2,0,1990,0.0135
Facebook,Video,Thursday,22,22450,22,110,7,3,5896,0.0065
LinkedIn,Carousel,Saturday,7,1027,23,45,1,1,315,0.0663
Facebook,Video,Tuesday,19,19009,1,122,10,3,8691,0.0111
Facebook,Video,Monday,18,1327,5,7,0,0,215,0.0105
Facebook,Video,Tuesday,19,3507,10,25,2,1,1625,0.0093
LinkedIn,Text,Monday,10,56224,12,737,23,47,9119,0.017
Facebook,Image,Tuesday,12,25879,25,91,10,1,9119,0.0053
LinkedIn,Text,Friday,22,15226,25,457,39,14,7737,0.0427
TikTok,Video,Saturday,16,49906,28,603,54,8,18686,0.024
Instagram,Video,Wednesday,12,6847,27,98,5,3,971,0.0211
TikTok,Carousel,Wednesday,4,18243,19,257,22,6,5640,0.0201
Facebook,Video,Friday,10,7778,30,24,1,1,2938,0.006
Instagram,Image,Monday,11,858,6,7,0,0,367,0.0134
Twitter,Image,Sunday,7,114526,14,60,4,3,51753,0.001
TikTok,Image,Monday,18,763,8,19,2,1,116,0.0371
Instagram,Text,Saturday,21,928,1,8,0,0,344,0.0127
Twitter,Video,Monday,20,18899,30,17,0,0,2765,0.0017
LinkedIn,Text,Thursday,20,8787,13,722,36,34,3825,0.1029
LinkedIn,Video,Sunday,8,13887,0,686,33,19,3107,0.0861
Instagram,Image,Wednesday,8,88735,11,990,108,36,30768,0.0186
Instagram,Carousel,Wednesday,16,29843,16,292,18,21,11705,0.0188
TikTok,Video,Thursday,21,4313,27,155,16,6,1585,0.0522
Instagram,Carousel,Tuesday,19,3949,0,33,2,0,1364,0.0145
Twitter,Video,Sunday,18,7761,28,7,0,0,4433,0.0017
LinkedIn,Carousel,Sunday,17,4929,9,189,14,8,1372,0.0667
TikTok,Carousel,Monday,19,20405,24,444,28,12,4405,0.0316
TikTok,Text,Saturday,15,991,26,7,0,0,469,0.0114
TikTok,Image,Friday,13,88618,11,1272,87,78,47099,0.0222
TikTok,Carousel,Saturday,7,2795,3,26,1,1,622,0.0169
Instagram,Image,Wednesday,10,15883,30,149,14,10,6980,0.0151
TikTok,Carousel,Friday,14,37154,19,585,23,30,5892,0.0239
TikTok,Video,Tuesday,14,12552,21,271,31,17,5091,0.0296
Facebook,Carousel,Wednesday,15,72857,7,333,31,15,37744,0.0091
Facebook,Carousel,Wednesday,7,12081,15,43,2,1,1288,0.0048
TikTok,Image,Tuesday,21,5358,16,157,5,8,734,0.0371
TikTok,Carousel,Sunday,9,2627,22,37,3,1,748,0.021
Instagram,Video,Wednesday,11,13011,11,215,8,3,1617,0.024
LinkedIn,Image,Tuesday,19,25001,16,1538,139,82,11778,0.1135
Instagram,Video,Thursday,12,3894,18,47,4,3,1443,0.0193
Facebook,Video,Friday,18,2272,9,11,0,0,1258,0.009
TikTok,Video,Monday,15,6319,13,126,8,6,2316,0.0255
LinkedIn,Carousel,Friday,10,2377,21,95,7,2,1024,0.0713
Facebook,Carousel,Sunday,23,21990,23,73,3,3,5101,0.0061
TikTok,Text,Sunday,15,9348,10,89,9,2,5145,0.0125
Twitter,Carousel,Tuesday,18,19692,29,36,4,2,9859,0.0025
LinkedIn,Video,Wednesday,9,7002,4,319,19,20,2682,0.09
TikTok,Carousel,Wednesday,1,1723,4,28,0,2,529,0.0253
TikTok,Image,Thursday,23,4783,21,93,4,4,2698,0.0317
Twitter,Video,Friday,16,185,15,0,0,0,65,0.0013
Twitter,Carousel,Wednesday,17,18721,5,21,1,1,7943,0.0018
Instagram,Video,Sunday,16,18851,14,165,17,3,2065,0.0125
Facebook,Image,Wednesday,13,141338,28,508,58,36,55439,0.0052
Facebook,Image,Saturday,15,596,1,1,0,0,240,0.0055
Facebook,Text,Saturday,16,15719,21,30,3,2,2556,0.0032
Instagram,Video,Monday,16,7704,26,66,3,0,4527,0.0167
Facebook,Text,Saturday,10,69682,12,138,10,1,39801,0.0036
Instagram,Image,Thursday,22,630,24,4,0,0,103,0.0126
Instagram,Image,Friday,10,10926,2,106,5,1,5623,0.0123
LinkedIn,Image,Saturday,7,10675,4,660,36,29,1506,0.09
TikTok,Video,Monday,18,2217,5,42,3,3,957,0.0317
Instagram,Video,Sunday,20,1371,15,18,1,0,711,0.0185
TikTok,Text,Tuesday,6,2777,15,38,4,2,986,0.0179
LinkedIn,Image,Saturday,17,12625,11,395,16,19,2432,0.0448
Instagram,Video,Friday,12,11160,17,162,10,10,2526,0.0218
Twitter,Text,Thursday,15,14799,5,12,0,0,7947,0.0012
Instagram,Video,Friday,16,3390,11,35,1,1,677,0.0183
Instagram,Video,Wednesday,4,1988,7,19,1,0,954,0.0128
Instagram,Image,Tuesday,14,13899,11,150,10,8,6691,0.0152
Instagram,Image,Wednesday,16,8365,15,71,2,3,2669,0.0165
Facebook,Video,Wednesday,18,3067,14,19,2,0,1721,0.0089
LinkedIn,Image,Tuesday,12,3630,23,190,17,9,2049,0.0921
TikTok,Video,Friday,18,2319,8,58,3,1,572,0.0406
Instagram,Image,Wednesday,16,1396,26,15,1,0,333,0.0141
Instagram,Text,Thursday,17,368,13,3,0,0,94,0.012
Facebook,Video,Monday,21,4013,28,14,0,0,1595,0.0069
Instagram,Text,Monday,21,1129,5,9,0,0,555,0.0148
TikTok,Text,Thursday,12,32803,27,420,24,24,7735,0.0166
Instagram,Video,Tuesday,16,11381,5,158,6,9,6543,0.0216
Instagram,Carousel,Monday,7,9742,27,64,6,3,5511,0.0109
Facebook,Image,Sunday,17,65435,29,78,4,5,9773,0.0023
Instagram,Image,Wednesday,22,78793,1,786,61,13,14676,0.0143
LinkedIn,Video,Friday,9,63082,0,3915,202,78,9957,0.0845
Instagram,Image,Saturday,8,968,17,6,0,0,327,0.0118
TikTok,Image,Sunday,4,1371,25,11,1,0,262,0.0133
Instagram,Image,Friday,11,490,28,2,0,0,179,0.0111
Instagram,Image,Thursday,9,48126,10,749,79,19,10567,0.02
TikTok,Carousel,Sunday,17,5856,17,67,7,4,2377,0.0187
TikTok,Video,Monday,13,11069,16,291,14,8,4185,0.0451
Instagram,Text,Thursday,12,835,15,7,0,0,453,0.0131
Twitter,Text,Tuesday,10,3816,9,1,0,0,1228,0.001
Facebook,Carousel,Saturday,14,5720,11,33,1,2,1956,0.0076
TikTok,Video,Thursday,8,10195,25,294,27,9,2211,0.0405
Instagram,Text,Saturday,12,5087,19,22,2,1,994,0.0068
TikTok,Image,Wednesday,21,15760,6,236,18,9,2838,0.0253
Instagram,Image,Monday,19,33331,10,546,18,11,8926,0.0221
Instagram,Video,Friday,19,16929,28,193,6,2,6551,0.0183
TikTok,Video,Tuesday,22,2872,7,87,5,4,296,0.043
Instagram,Image,Sunday,9,5638,17,33,2,2,2834,0.0114
Instagram,Video,Friday,6,10023,8,70,4,3,5365,0.012
Facebook,Carousel,Sunday,12,1266,17,5,0,0,221,0.0062
Instagram,Image,Saturday,7,14464,18,83,8,2,8505,0.0096
TikTok,Video,Sunday,10,4008,7,52,5,2,2052,0.0188
TikTok,Video,Saturday,14,11717,3,67,4,4,4142,0.0104
LinkedIn,Text,Tuesday,12,193203,20,6117,538,71,60822,0.0487
Instagram,Video,Friday,19,21920,7,343,13,6,12923,0.0206
LinkedIn,Carousel,Thursday,7,22595,10,1674,148,46,9607,0.1061
Instagram,Video,Tuesday,4,2274,14,34,2,1,242,0.0193
Instagram,Video,Thursday,13,22790,22,404,35,26,6812,0.0274
Facebook,Image,Thursday,15,2541,2,10,0,0,770,0.006
Instagram,Carousel,Thursday,18,743,25,14,1,0,355,0.0276
Instagram,Text,Friday,16,5669,22,27,2,1,1538,0.0082
Instagram,Video,Monday,13,396,27,4,0,0,216,0.0176
Instagram,Video,Thursday,9,8410,26,109,8,5,1198,0.0165
TikTok,Image,Friday,23,3603,14,31,1,2,2119,0.0162
TikTok,Video,Wednesday,20,426,14,10,0,0,168,0.0423
LinkedIn,Image,Thursday,7,108887,21,7036,763,316,50646,0.089
LinkedIn,Video,Thursday,18,7180,24,367,18,17,2597,0.0899
Instagram,Video,Friday,14,10874,16,82,7,5,1313,0.0133
TikTok,Carousel,Saturday,16,1903,30,27,1,1,261,0.0221
Twitter,Text,Thursday,17,388,28,0,0,0,187,0.0011
LinkedIn,Video,Saturday,16,10989,9,664,52,43,2846,0.099
LinkedIn,Video,Monday,5,9116,5,288,34,11,2528,0.0453
TikTok,Video,Monday,12,87135,13,1754,62,117,49688,0.029
LinkedIn,Text,Monday,8,10642,3,254,14,5,4659,0.0314
Instagram,Image,Saturday,5,208477,27,1220,74,80,77165,0.0087
Instagram,Image,Saturday,7,39855,11,324,24,10,13349,0.0119
TikTok,Video,Saturday,13,41887,24,774,88,14,22517,0.0317
Twitter,Video,Saturday,16,6546,13,10,0,0,1142,0.0021
Facebook,Image,Sunday,23,2944,13,8,0,0,1176,0.0043
Twitter,Image,Friday,21,4278,13,4,0,0,573,0.0019
Instagram,Text,Tuesday,19,826,29,8,0,0,340,0.0153
LinkedIn,Video,Friday,16,10011,7,924,34,37,1818,0.1319
Instagram,Video,Sunday,16,38000,29,337,18,7,12814,0.0116
Instagram,Video,Sunday,14,3742,28,31,3,2,1356,0.0116
TikTok,Video,Saturday,13,23619,30,450,44,25,4323,0.0258
Instagram,Carousel,Friday,22,4911,17,29,0,1,2067,0.0116
TikTok,Image,Thursday,15,17917,3,282,12,3,7323,0.0244
Instagram,Image,Friday,13,2108,24,16,0,1,1086,0.0098
Instagram,Image,Wednesday,18,6276,6,89,4,5,1795,0.0191
TikTok,Video,Saturday,5,2456,12,37,2,1,1469,0.0227
Instagram,Carousel,Thursday,23,604,3,9,0,0,281,0.024
LinkedIn,Image,Friday,15,1379,14,69,5,1,649,0.0753
Instagram,Image,Tuesday,4,1696,23,13,0,0,280,0.0125
TikTok,Video,Saturday,12,13630,8,329,24,9,6369,0.0481
Instagram,Image,Wednesday,8,2128,19,17,1,0,1166,0.0126
